unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
877152,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01,13.30209579,2023,6,2,Air Quality Indicator
874356,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,102,Northeast Bronx,Summer 2023,2023-06-01,9.237958876,2023,6,2,Air Quality Indicator
878220,386,Ozone (O3),Mean,ppb,UHF42,310,Lower Manhattan,Summer 2023,2023-06-01,29.88823161,2023,6,2,Air Quality Indicator
878142,386,Ozone (O3),Mean,ppb,CD,412,Jamaica and Hollis (CD12),Summer 2023,2023-06-01,37.63691568,2023,6,2,Air Quality Indicator
878160,386,Ozone (O3),Mean,ppb,CD,111,East Harlem (CD11),Summer 2023,2023-06-01,31.93767785,2023,6,2,Air Quality Indicator
874434,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410,Rockaways,Summer 2023,2023-06-01,8.150636732,2023,6,2,Air Quality Indicator
878129,386,Ozone (O3),Mean,ppb,CD,317,East Flatbush (CD17),Summer 2023,2023-06-01,37.1586567,2023,6,2,Air Quality Indicator
878200,386,Ozone (O3),Mean,ppb,UHF34,202,Downtown - Heights - Slope,Summer 2023,2023-06-01,33.86869045,2023,6,2,Air Quality Indicator
877242,375,Nitrogen dioxide (NO2),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2023,2023-06-01,12.29498083,2023,6,2,Air Quality Indicator
877044,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Summer 2023,2023-06-01,15.48445494,2023,6,2,Air Quality Indicator
874921,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Summer 2023,2023-06-01,8.652317625,2023,6,2,Air Quality Indicator
878140,386,Ozone (O3),Mean,ppb,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2023,2023-06-01,37.87161012,2023,6,2,Air Quality Indicator
876948,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Summer 2023,2023-06-01,15.07775098,2023,6,2,Air Quality Indicator
